Month,Country,X,Y,,,,,,
January,Spain,943,2,,,,,,
February,Spain,395,3,,,,,,
March,Spain,586,2,,,,,0,0.9615
April,Spain,883,1,,,,,1500,12.6615
May,Spain,578,2,,,,,,
June,Spain,664,11,,,,,,
January,Italy,764,5,,,,,,
February,Italy,156,13,,,,,,
March,Italy,136,1,,,,,,
April,Italy,1035,2,,,,,,
May,Italy,1187,9,,,,,,
June,Italy,993,31,,,,,,
January,Malta,13,0,,,,,,
February,Malta,9,0,,,,,,
March,Malta,11,0,,,,,,
April,Malta,10,0,,,,,,
May,Malta,17,1,,,,,,
June,Malta,18,0,,,,,,
