Month,Region,Country,X,Y
January,Mid East,Jordan,-759,6
February,Mid East,Jordan,-947,34
March,Mid East,Jordan,5377,17
April,Mid East,Jordan,-8,7
May ,Mid East,Jordan,873,4
June,Mid East,Jordan,1939,0
January,Mid East,Egypt,-1551,16
February,Mid East,Egypt,-1551,20
March,Mid East,Egypt,-3042,20
April,Mid East,Egypt,710,18
May ,Mid East,Egypt,710,6
June,Mid East,Egypt,-2100,3
January,Mid East,Lebanon,9255,14
February,Mid East,Lebanon,11861,10
March,Mid East,Lebanon,13509,10
April,Mid East,Lebanon,2297,10
May ,Mid East,Lebanon,-8637,11
June,Mid East,Lebanon,-1937,18
January,Mid East,Turkey,145633,14
February,Mid East,Turkey,188535,44
March,Mid East,Turkey,18172,49
April,Mid East,Turkey,1940,16
May ,Mid East,Turkey,43769,9
June,Mid East,Turkey,133744,22
January,Mid East,Iraq,1938,66
February,Mid East,Iraq,5063,113
March,Mid East,Iraq,6043,87
April,Mid East,Iraq,3636,55
May ,Mid East,Iraq,1359,45
June,Mid East,Iraq,1964,43
January,Western Mediterranean,Spain,943,2
February,Western Mediterranean,Spain,395,3
March,Western Mediterranean,Spain,586,2
April,Western Mediterranean,Spain,883,1
May,Western Mediterranean,Spain,578,2
June,Western Mediterranean,Spain,664,11
January,Western Mediterranean,Italy,764,5
February,Western Mediterranean,Italy,156,13
March,Western Mediterranean,Italy,136,1
April,Western Mediterranean,Italy,1035,2
May,Western Mediterranean,Italy,1187,9
June,Western Mediterranean,Italy,993,31
January,Western Mediterranean,Malta,13,0
February,Western Mediterranean,Malta,9,0
March,Western Mediterranean,Malta,11,0
April,Western Mediterranean,Malta,10,0
May,Western Mediterranean,Malta,17,1
June,Western Mediterranean,Malta,18,0
September,Balkans,Greece,67652.01,48
October,Balkans,Greece,100554.66,29
September,Balkans,Macedonia,83183.55,0
October,Balkans,Macedonia,98349.93,0
September,Balkans,Serbia,70894.59,30
October,Balkans,Serbia,94814.1,22
September,Balkans,Croatia,47081.1,21
October,Balkans,Croatia,104194.53,24
September,Balkans,Hungary,70581.96,108
October,Balkans,Hungary,50752.65,26
September,Balkans,Slovenia,0,16
October,Balkans,Slovenia,58396.53,31
September,Balkans,Austria,86038.02,56
October,Balkans,Austria,97549.74,29
