Month,Country,Y,X,,,
January,Jordan,6,-759,,,
February,Jordan,34,-947,,,
March,Jordan,17,5377,,,
April,Jordan,7,-8,,,
May ,Jordan,4,873,,,
June,Jordan,0,1939,,,
January,Egypt,16,-1551,,,
February,Egypt,20,-1551,,,
March,Egypt,20,-3042,,,
April,Egypt,18,710,,0,25.875
May ,Egypt,6,710,,200000,29.875
June,Egypt,3,-2100,,,
January,Lebanon,14,9255,,,
February,Lebanon,10,11861,,,
March,Lebanon,10,13509,,,
April,Lebanon,10,2297,,,
May ,Lebanon,11,-8637,,,
June,Lebanon,18,-1937,,,
January,Turkey,14,145633,,,
February,Turkey,44,188535,,,
March,Turkey,49,18172,,,
April,Turkey,16,1940,,,
May ,Turkey,9,43769,,,
June,Turkey,22,133744,,,
January,Iraq,66,1938,,,
February,Iraq,113,5063,,,
March,Iraq,87,6043,,,
April,Iraq,55,3636,,,
May ,Iraq,45,1359,,,
June,Iraq,43,1964,,,
